chateau,region_x,classification,year,score,price_usd,vintage_score,biodynamic,source,appellation,region_y,regional_vintage_score
Beychevelle,St-Julien,4,2000,91.0,,93,0,IEEE,Saint-Julien,Saint-Julien,93.0
Beychevelle,St-Julien,4,2001,85.0,,91,0,IEEE,Saint-Julien,Saint-Julien,92.0
Beychevelle,St-Julien,4,2002,88.0,,91,0,IEEE,Saint-Julien,Saint-Julien,92.0
Beychevelle,St-Julien,4,2003,89.0,,93,0,IEEE,Saint-Julien,Saint-Julien,93.0
Beychevelle,St-Julien,4,2004,91.0,,92,0,IEEE,Saint-Julien,Saint-Julien,93.0
Beychevelle,St-Julien,4,2005,89.0,,93,0,IEEE,Saint-Julien,Saint-Julien,93.0
Beychevelle,St-Julien,4,2006,88.0,,92,0,IEEE,Saint-Julien,Saint-Julien,94.0
Beychevelle,St-Julien,4,2007,85.0,,91,0,IEEE,Saint-Julien,Saint-Julien,92.0
Beychevelle,St-Julien,4,2008,90.0,,92,0,IEEE,Saint-Julien,Saint-Julien,94.0
Beychevelle,St-Julien,4,2009,92.0,,94,0,IEEE,Saint-Julien,Saint-Julien,94.0
Beychevelle,St-Julien,4,2010,93.0,,94,0,IEEE,Saint-Julien,Saint-Julien,94.0
Beychevelle,St-Julien,4,2011,91.0,,92,0,IEEE,Saint-Julien,Saint-Julien,93.0
Beychevelle,St-Julien,4,2012,90.0,,92,0,IEEE,Saint-Julien,Saint-Julien,92.0
Beychevelle,St-Julien,4,2013,89.0,,91,0,IEEE,Saint-Julien,Saint-Julien,92.0
Beychevelle,St-Julien,4,2014,92.0,,94,0,IEEE,Saint-Julien,Saint-Julien,94.0
Beychevelle,St-Julien,4,2015,93.0,,94,0,IEEE,Saint-Julien,Saint-Julien,95.0
Beychevelle,St-Julien,4,2016,93.0,,96,0,IEEE,Saint-Julien,Saint-Julien,95.0
Beychevelle,St-Julien,4,2017,92.0,125.0,94,0,WineSearcher,Saint-Julien,Saint-Julien,95.0
Beychevelle,St-Julien,4,2018,93.0,139.0,96,0,WineSearcher,Saint-Julien,Saint-Julien,97.0
Beychevelle,St-Julien,4,2019,93.0,157.0,96,0,WineSearcher,Saint-Julien,Saint-Julien,97.0
Beychevelle,St-Julien,4,2020,93.0,118.0,95,0,WineSearcher,Saint-Julien,Saint-Julien,96.0
Beychevelle,St-Julien,4,2021,92.0,96.0,94,0,WineSearcher,Saint-Julien,Saint-Julien,95.0
Beychevelle,St-Julien,4,2022,94.0,110.0,96,0,WineSearcher,Saint-Julien,Saint-Julien,96.0
Beychevelle,St-Julien,4,2023,94.0,104.0,95,0,WineSearcher,Saint-Julien,Saint-Julien,97.0
Beychevelle,St-Julien,4,2024,92.0,88.0,93,0,WineSearcher,Saint-Julien,Saint-Julien,95.0
Calon-Segur,St-Estephe,3,2000,90.0,,93,0,IEEE,Saint-Estephe,Saint-Estephe,94.0
Calon-Segur,St-Estephe,3,2001,90.0,,91,0,IEEE,Saint-Estephe,Saint-Estephe,92.0
Calon-Segur,St-Estephe,3,2002,93.0,,91,0,IEEE,Saint-Estephe,Saint-Estephe,92.0
Calon-Segur,St-Estephe,3,2003,95.0,,93,0,IEEE,Saint-Estephe,Saint-Estephe,95.0
Calon-Segur,St-Estephe,3,2004,90.0,,92,0,IEEE,Saint-Estephe,Saint-Estephe,92.0
Calon-Segur,St-Estephe,3,2005,93.0,,93,0,IEEE,Saint-Estephe,Saint-Estephe,94.0
Calon-Segur,St-Estephe,3,2006,92.0,,92,0,IEEE,Saint-Estephe,Saint-Estephe,92.0
Calon-Segur,St-Estephe,3,2007,88.0,,91,0,IEEE,Saint-Estephe,Saint-Estephe,91.0
Calon-Segur,St-Estephe,3,2008,90.0,,92,0,IEEE,Saint-Estephe,Saint-Estephe,93.0
Calon-Segur,St-Estephe,3,2009,94.0,,94,0,IEEE,Saint-Estephe,Saint-Estephe,94.0
Calon-Segur,St-Estephe,3,2010,89.0,,94,0,IEEE,Saint-Estephe,Saint-Estephe,95.0
Calon-Segur,St-Estephe,3,2011,91.0,,92,0,IEEE,Saint-Estephe,Saint-Estephe,92.0
Calon-Segur,St-Estephe,3,2012,93.0,,92,0,IEEE,Saint-Estephe,Saint-Estephe,93.0
Calon-Segur,St-Estephe,3,2013,90.0,,91,0,IEEE,Saint-Estephe,Saint-Estephe,91.0
Calon-Segur,St-Estephe,3,2014,93.0,,94,0,IEEE,Saint-Estephe,Saint-Estephe,95.0
Calon-Segur,St-Estephe,3,2015,93.0,,94,0,IEEE,Saint-Estephe,Saint-Estephe,94.0
Calon-Segur,St-Estephe,3,2016,96.0,,96,0,IEEE,Saint-Estephe,Saint-Estephe,97.0
Calon-Segur,St-Estephe,3,2017,94.0,125.0,94,0,WineSearcher,Saint-Estephe,Saint-Estephe,95.0
Calon-Segur,St-Estephe,3,2018,96.0,189.0,96,0,WineSearcher,Saint-Estephe,Saint-Estephe,97.0
Calon-Segur,St-Estephe,3,2019,95.0,193.0,96,0,WineSearcher,Saint-Estephe,Saint-Estephe,96.0
Calon-Segur,St-Estephe,3,2020,95.0,163.0,95,0,WineSearcher,Saint-Estephe,Saint-Estephe,96.0
Calon-Segur,St-Estephe,3,2021,93.0,127.0,94,0,WineSearcher,Saint-Estephe,Saint-Estephe,95.0
