region,year,regional_vintage_score
Pessac-Leognan,2024,95.0
Pessac-Leognan,2023,95.0
Pessac-Leognan,2022,95.0
Pessac-Leognan,2021,94.0
Pessac-Leognan,2020,95.0
Pessac-Leognan,2019,95.0
Pessac-Leognan,2018,95.0
Pessac-Leognan,2017,93.0
Pessac-Leognan,2016,95.0
Pessac-Leognan,2015,94.0
Pessac-Leognan,2014,93.0
Pessac-Leognan,2013,91.0
Pessac-Leognan,2012,93.0
Pessac-Leognan,2011,91.0
Pessac-Leognan,2010,93.0
Pessac-Leognan,2009,93.0
Pessac-Leognan,2008,92.0
Pessac-Leognan,2007,92.0
Pessac-Leognan,2006,91.0
Pessac-Leognan,2005,92.0
Pessac-Leognan,2004,91.0
Pessac-Leognan,2003,92.0
Pessac-Leognan,2002,92.0
Pessac-Leognan,2001,91.0
Pessac-Leognan,2000,92.0
Saint-Julien,2024,95.0
Saint-Julien,2023,97.0
Saint-Julien,2022,96.0
Saint-Julien,2021,95.0
Saint-Julien,2020,96.0
Saint-Julien,2019,97.0
Saint-Julien,2018,97.0
Saint-Julien,2017,95.0
Saint-Julien,2016,95.0
Saint-Julien,2015,95.0
Saint-Julien,2014,94.0
Saint-Julien,2013,92.0
Saint-Julien,2012,92.0
Saint-Julien,2011,93.0
Saint-Julien,2010,94.0
Saint-Julien,2009,94.0
Saint-Julien,2008,94.0
Saint-Julien,2007,92.0
Saint-Julien,2006,94.0
Saint-Julien,2005,93.0
Saint-Julien,2004,93.0
Saint-Julien,2003,93.0
Saint-Julien,2002,92.0
Saint-Julien,2001,92.0
Saint-Julien,2000,93.0
Saint-Estephe,2024,93.0
Saint-Estephe,2023,97.0
Saint-Estephe,2022,97.0
Saint-Estephe,2021,95.0
Saint-Estephe,2020,96.0
Saint-Estephe,2019,96.0
Saint-Estephe,2018,97.0
Saint-Estephe,2017,95.0
Saint-Estephe,2016,97.0
Saint-Estephe,2015,94.0
Saint-Estephe,2014,95.0
Saint-Estephe,2013,91.0
Saint-Estephe,2012,93.0
Saint-Estephe,2011,92.0
Saint-Estephe,2010,95.0
Saint-Estephe,2009,94.0
Saint-Estephe,2008,93.0
Saint-Estephe,2007,91.0
Saint-Estephe,2006,92.0
Saint-Estephe,2005,94.0
Saint-Estephe,2004,92.0
Saint-Estephe,2003,95.0
Saint-Estephe,2002,92.0
Saint-Estephe,2001,92.0
Saint-Estephe,2000,94.0
Pauillac,2024,92.0
Pauillac,2023,95.0
Pauillac,2022,96.0
Pauillac,2021,93.0
Pauillac,2020,95.0
Pauillac,2019,95.0
Pauillac,2018,96.0
Pauillac,2017,93.0
Pauillac,2016,96.0
Pauillac,2015,95.0
Pauillac,2014,93.0
Pauillac,2013,91.0
Pauillac,2012,92.0
Pauillac,2011,91.0
Pauillac,2010,94.0
Pauillac,2009,94.0
Pauillac,2008,92.0
Pauillac,2007,91.0
Pauillac,2006,92.0
Pauillac,2005,93.0
Pauillac,2004,92.0
Pauillac,2003,92.0
Pauillac,2002,91.0
Pauillac,2001,91.0
Pauillac,2000,92.0
Margaux,2024,93.0
Margaux,2023,92.0
Margaux,2022,95.0
Margaux,2021,92.0
Margaux,2020,93.0
Margaux,2019,95.0
Margaux,2018,95.0
Margaux,2017,94.0
Margaux,2016,94.0
Margaux,2015,93.0
Margaux,2014,92.0
Margaux,2013,91.0
Margaux,2012,91.0
Margaux,2011,90.0
Margaux,2010,93.0
Margaux,2009,93.0
Margaux,2008,92.0
Margaux,2007,90.0
Margaux,2006,90.0
Margaux,2005,93.0
Margaux,2004,92.0
Margaux,2003,91.0
Margaux,2002,91.0
Margaux,2001,91.0
Margaux,2000,92.0
